Policy,Country,GPT-4-1,GPT-4o-Mini-2-Pass,Sonar-Pro-2
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Brunei,PARTIAL,YES,PARTIAL
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Cambodia,NO,NO,PARTIAL
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Indonesia,YES,PARTIAL,PARTIAL
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Laos,NO,YES,PARTIAL
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Malaysia,YES,YES,YES
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Myanmar,NO,NO,NO
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Philippines,YES,YES,YES
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Singapore,YES,YES,YES
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Thailand,YES,YES,YES
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Vietnam,YES,YES,PARTIAL
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Brunei,UNKNOWN,PARTIAL,UNKNOWN
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Cambodia,UNKNOWN,YES,UNKNOWN
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Indonesia,YES,YES,YES
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Laos,UNKNOWN,YES,UNKNOWN
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Malaysia,YES,YES,YES
