policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Indonesia,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Vietnam,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Laos,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Brunei,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Thailand,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Myanmar,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Philippines,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Cambodia,No,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Singapore,Yes,,
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Malaysia,Yes,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Indonesia,Yes,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Vietnam,Yes,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Laos,No,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Brunei,No,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Thailand,No,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Myanmar,No,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Philippines,Yes,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Cambodia,No,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Singapore,Yes,,
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Malaysia,No,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Indonesia,Yes,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Vietnam,No,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Laos,No,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Brunei,No,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Thailand,Yes,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Myanmar,No,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Philippines,Yes,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Cambodia,No,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Singapore,Yes,,
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Malaysia,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Indonesia,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Vietnam,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Laos,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Brunei,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Thailand,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Myanmar,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Philippines,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Cambodia,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Singapore,Yes,,
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Malaysia,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Indonesia,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Vietnam,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Laos,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Brunei,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Thailand,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Myanmar,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Philippines,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Cambodia,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Singapore,Yes,,
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Malaysia,Yes,,
Requires halal certification for pharmaceutical products.,Indonesia,Yes,,
Requires halal certification for pharmaceutical products.,Vietnam,Partial,,
Requires halal certification for pharmaceutical products.,Laos,Partial,,
Requires halal certification for pharmaceutical products.,Brunei,Yes,,
Requires halal certification for pharmaceutical products.,Thailand,No,,
Requires halal certification for pharmaceutical products.,Myanmar,No,,
Requires halal certification for pharmaceutical products.,Philippines,Yes,,
Requires halal certification for pharmaceutical products.,Cambodia,No,,
Requires halal certification for pharmaceutical products.,Singapore,No,,
Requires halal certification for pharmaceutical products.,Malaysia,Yes,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Indonesia,Yes,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Vietnam,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Laos,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Brunei,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Thailand,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Myanmar,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Philippines,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Cambodia,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Singapore,No,,
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Malaysia,No,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Indonesia,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Vietnam,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Laos,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Brunei,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Thailand,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Myanmar,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Philippines,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Cambodia,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Singapore,Yes,,
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Malaysia,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Indonesia,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Vietnam,Yes,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Laos,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Brunei,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Thailand,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Myanmar,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Philippines,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Cambodia,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Singapore,No,,
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Malaysia,No,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Indonesia,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Vietnam,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Laos,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Brunei,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Thailand,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Myanmar,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Philippines,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Cambodia,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Singapore,Yes,,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Malaysia,Yes,,
