policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Indonesia,YES,"Indonesia accepts the ICH Common Technical Document (CTD) format for innovator pharmaceutical product registrations, while the ASEAN Common Technical Dossier (ACTD) is used for generic applications.",https://www.productlifegroup.com/specific-regulations-requirements-international-markets/
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Indonesia,YES,"Indonesia provides a fully digital online submission portal for pharmaceutical product marketing authorization applications, called the Indonesia National Agency of Drug and Food Control (BPOM) Online System, which allows companies to submit applications and required documents electronically.","https://www.fdanews.com/articles/211448-indonesia-unveils-new-drug-registration-system,https://www.bpoman.go.id/portal"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Indonesia,YES,"Indonesia is legally required to accept cGMP certificates from other ASEAN Member States under the ASEAN Mutual Recognition Arrangement (MRA) on GMP Inspection for Manufacturers of Medicinal Products, which mandates mutual recognition of GMP inspection reports and certificates among member countries.","https://en.vietnamplus.vn/asean-imposes-tighter-medicine-and-pharmaceutical-management-post73233.vnp,https://asianews.network/indonesia-approves-asean-deals-on-food-safety-building-materials-manufacturing/"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Indonesia,NO,"Indonesia, classified under Climatic Zone IVb, requires long-term stability data at 30°C ± 2°C/75% RH ± 5% RH, and does not accept data at 25°C/60% RH, even if supported by accelerated stability studies.","https://pharmatreasures.blogspot.com/2015/11/stability-conditions-for-who-member.html,https://www.stabilitystudies.in/mapping-ich-stability-requirements-across-climatic-zones/"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Indonesia,YES,"Indonesia allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing, as they adopt ASEAN guidelines, which are harmonized with ICH guidelines permitting these approaches under certain conditions.","https://europepmc.org/article/pmc/pmc7298514,https://www.pom.go.id/new/view/more/persyaratan-registrasi"
Requires halal certification for pharmaceutical products.,Indonesia,YES,"Indonesia mandates halal certification for pharmaceutical products, with specific deadlines for different categories, such as traditional medicines by October 17, 2026, and over-the-counter drugs by October 17, 2029. ([halalmui.org](https://halalmui.org/en/ask-the-expert-part-1-from-regulations-to-certification-challenges-of-halal-medicines/?utm_source=openai))",https://halalmui.org/en/ask-the-expert-part-1-from-regulations-to-certification-challenges-of-halal-medicines/
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Indonesia,YES,"In Indonesia, prescription-only pharmaceutical products are required to display a red circle with the letter 'K' on their packaging to indicate that they are 'Obat Keras' (hard drugs) and require a doctor's prescription. ([herminahospitals.com](https://herminahospitals.com/en/news-and-events/kenali-simbol-kode-warna-pada-obat-rs-hermina-pasuruan.html?utm_source=openai))",https://herminahospitals.com/en/news-and-events/kenali-simbol-kode-warna-pada-obat-rs-hermina-pasuruan.html
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Indonesia,NO,"Indonesia does not publicly target an average marketing authorization (MA) approval timeline of six months or less; the official timeline for new drug registrations is typically around 100 to 300 working days (about 5 to 15 months), depending on the product type and completeness of dossier submissions.","https://www.regdesk.co/indonesia-dossier-requirements-and-registration-process/,https://www.npra.gov.my/easyarticles/images/users/1043/files/4_Overview_DrugRegistration_Indonesia.pdf"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Indonesia,UNKNOWN,There is no specific information available regarding hospital-only distribution restrictions for certain classes of antimicrobial pharmaceutical products in Indonesia.,
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Indonesia,PARTIAL,"Indonesia has initiated national antimicrobial resistance (AMR) surveillance efforts, including a survey on bloodstream infections and plans for antimicrobial consumption monitoring, but comprehensive, publicly available data specifically related to pharmaceutical products are not yet fully established.","https://www.who.int/indonesia/news/detail/13-02-2025-indonesia-launches-groundbreaking-national-amr-survey-on-bloodstream-infections,https://www.who.int/indonesia/news/detail/07-07-2023-establishing-national-surveillance-system-for-antimicrobial-consumption-in-indonesia--a-critical-challenge"
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Vietnam,YES,"Vietnam accepts both the ICH Common Technical Document (CTD) and the ASEAN Common Technical Dossier (ACTD) formats for drug registration applications, including those for innovator pharmaceutical products.","https://vnras.com/actd-actr/,https://m.thuvienphapluat.vn/van-ban/The-thao-Y-te/Circular-32-2018-TT-BYT-marketing-authorization-of-drugs-and-medicinal-ingredients-412358.aspx"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Vietnam,YES,"Vietnam provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through its National Single Window (NSW) system, which allows electronic submissions and processing of dossiers.","https://www.moh.gov.vn/web/ministry-of-health/official-documents/-/asset_publisher/0vUvWnUPuayR/content/official-letter-no-8728-byt-qd-2020-on-receiving-electronic-dossiers-for-drugs-registration,https://asemconnectvietnam.gov.vn/default.aspx?ID1=2&ZID1=10&ID8=103062"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Vietnam,PARTIAL,"Vietnam has agreed to recognize cGMP certificates from certain ASEAN Member States under the ASEAN Mutual Recognition Arrangement (MRA), but this recognition is limited to certificates issued by four specific ASEAN inspection services: the Singapore Health Sciences Authority, the Malaysia National Pharmaceutical Control Bureau, the Indonesia National Agency for Drug and Food Control, and the Food and Drug Administration (FDA) of Thailand.",https://en.vietnamplus.vn/asean-imposes-tighter-medicine-and-pharmaceutical-management-post73233.vnp
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Vietnam,NO,"Vietnam generally requires stability data for pharmaceutical products to be submitted based on the country's climatic zone, which is Zone IVb (30°C/75% RH), not 25°C/60% RH; therefore, data at 25°C/60% RH is not accepted as the primary condition, even if supported by accelerated studies.","https://echa.europa.eu/documents/10162/22816030/8_ws_ric_pharmaceutical_en.pdf/8f8baa6f-bdc7-128e-2ac9-c6b54edfd922,https://vnrhc.gov.vn/wp-content/uploads/2020/02/Circular-32-2018-TT-BYT.pdf"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Vietnam,YES,"Vietnam, as a member of the Association of Southeast Asian Nations (ASEAN), follows the ASEAN guidelines on stability studies, which permit the use of bracketing and matrixing study designs in pharmaceutical product stability testing.",https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug
