policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Indonesia,PARTIAL,"Indonesia accepts the ICH CTD format for innovator pharmaceutical product registrations, but compliance with ASEAN technical requirements is mandatory.","https://www.artixio.com/post/indonesia-drug-pharmaceutical-regulations-registration?utm_source=openai,https://www.pharmatutor.org/articles/a-study-of-procedures-for-dossier-preparation-and-their%20marketing-authorisation-in-different-countries-of-selected-drug?utm_source=openai"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Indonesia,YES,"Indonesia provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the e-Registration system implemented by the Indonesian Food and Drug Authority (BPOM), accessible at their official website.","https://registrasiobat.pom.go.id/en?utm_source=openai,https://www.linkedin.com/pulse/how-register-imported-products-bpom-2025-cptcorporate-wtfic?utm_source=openai,https://stage.pharma.kalyna.dev/legal-reports/the-pharma-legal-handbook-indonesia/?utm_source=openai"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Indonesia,YES,"Indonesia legally requires acceptance of another ASEAN Member State's GMP certificate for pharmaceutical manufacturers, as dictated by the ASEAN Sectoral Mutual Recognition Arrangement on GMP, which Indonesia is a signatory to.","https://cil.nus.edu.sg/databasecil/2009-asean-sectoral-mutual-recognition-agreement-on-good-manufacturing-practice-gmp-inspection-of-manufacturers-of-medicinal-products/?utm_source=openai,https://www.pom.go.id/berita/workshop-on-the-development-of-a-mutual-recognition-arrangement-of-bioequivalence-study-reports?utm_source=openai"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Indonesia,PARTIAL,"Indonesia does not explicitly permit long-term stability data submission at 25°C/60% RH, but it allows accelerated stability studies under these conditions if scientifically justified.",https://www.scribd.com/document/457681671/ASEAN-GUIDELINE-ON-STABILITY-STUDY-OF-DRUG-PRODUCT-docx?utm_source=openai
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Indonesia,YES,Indonesia permits the use of bracketing and matrixing study designs for pharmaceutical product stability testing as recognized by BPOM and directed by the ASEAN Guideline on Stability Study of Drug Products.,"https://farmasiindustri.com/cpob/bracketing-dan-matrixing.html?utm_source=openai,https://paperzz.com/doc/9443062/asean-guideline-on-stability-study-of-drug?utm_source=openai"
Requires halal certification for pharmaceutical products.,Indonesia,YES,"Indonesia requires halal certification for pharmaceutical products as mandated by Act No. 33 of 2014 on Halal Product Assurance, with phased implementation through 2034 (Government Regulation No. 39 of 2021 and Presidential Regulation No. 6 of 2023).","https://halalmui.org/en/ask-the-expert-part-1-from-regulations-to-certification-challenges-of-halal-medicines/?utm_source=openai,https://en.antaranews.com/news/347321/bpjph-highlights-urgency-of-halal-certification-for-health-products?utm_source=openai,https://theleap.id/detail/1915/navigating-the-halal-pharmaceutical-industry-in-indonesia-challenges-and-opportunities?utm_source=openai"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Indonesia,YES,"In Indonesia, prescription-only pharmaceutical products are required to display a red circle with a black border and the letter 'K', indicating that the medication requires a doctor's prescription (source: Hermina Hospitals).",https://herminahospitals.com/en/news-and-events/kenali-simbol-kode-warna-pada-obat-rs-hermina-pasuruan.html?utm_source=openai
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Indonesia,NO,"Indonesia does not target an average marketing authorization (MA) approval timeline of six months or less, as typical timelines exceed this duration; new drug registrations can take up to 300 working days, while even expedited cases for essential drugs usually take around 100 working days.","https://www.artixio.com/post/indonesia-drug-pharmaceutical-regulations-registration?utm_source=openai,https://baipharm.chemlinked.com/insights/indonesia-drug-registration-pathway?utm_source=openai"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Indonesia,PARTIAL,"Indonesia has regulations that classify antibiotics as prescription-only and restrict their sale to pharmacies, yet enforcement is lacking as they are often available over-the-counter in pharmacies and kiosks, undermining the effectiveness of the policy ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC2914770/?utm_source=openai), [researchgate.net](https://www.researchgate.net/publication/386849301_Antimicrobial_Policy_in_Indonesia_within_the_One_Health_Context_Literature_Analysis_and_Implementation_Challenges?utm_source=openai)).","https://pmc.ncbi.nlm.nih.gov/articles/PMC2914770/?utm_source=openai,https://www.researchgate.net/publication/386849301_Antimicrobial_Policy_in_Indonesia_within_the_One_Health_Context_Literature_Analysis_and_Implementation_Challenges?utm_source=openai"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Indonesia,PARTIAL,"Indonesia has initiated steps to establish a national system for antimicrobial resistance (AMR) surveillance and published initial findings, but comprehensive public access to all data may still be limited.","https://www.who.int/indonesia/news/detail/07-07-2023-establishing-national-surveillance-system-for-antimicrobial-consumption-in-indonesia--a-critical-challenge?utm_source=openai,https://www.who.int/indonesia/news/detail/13-02-2025-indonesia-launches-groundbreaking-national-amr-survey-on-bloodstream-infections?utm_source=openai,https://www.thelancet.com/journals/lansea/article/PIIS2772-3682%2822%2900013-0/fulltext?utm_source=openai"
