policy,country,status,explanation,source
Accepts the International Council for Harmonisation (ICH) Common Technical Document (CTD) format for innovator pharmaceutical product registrations.,Indonesia,PARTIAL,"Indonesia does not fully adopt the ICH CTD, but instead uses the ASEAN CTD (ACTD), a format derived from and closely aligned with the ICH CTD, for innovator pharmaceutical product registrations.[2]","https://ijprajournal.com/issue_dcp/A%20Review%20Article%20on%20the%20Common%20Technical%20Document%20CTD%20Regulatory%20Dossier.pdf,https://international-pharma.com/wp-content/uploads/2017/04/Comparison-of.pdf,https://www.ijpcbs.com/articles/comparative-study-of-regulatory-requirementsfor-the-compilation-and-approval-of-dossieras-per-ctd-actd-and-ectd-formats.pdf,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-guideline-m4-r4-common-technical-document-ctd-registration-pharmaceuticals-human-use-organisation-ctd-step-5_en.pdf,https://jpionline.org/storage/2023/12/IntJPharmInvestigation-14-1-1.pdf"
Provides a fully digital online submission portal for pharmaceutical product marketing authorization applications.,Indonesia,YES,"Indonesia provides a fully digital online submission portal for pharmaceutical product marketing authorization applications through the BPOM e-Registration system, where all applications must be submitted electronically.[2]","https://www.tilleke.com/insights/indonesia-updates-its-drug-advertising-guidelines/53/,https://clinchoice.co.jp/en/indonesia-regulatory-watch-a-primer-on-drug-registration-in-indonesia-august-2025/,https://baipharm.chemlinked.com/insights/indonesia-drug-registration-pathway,https://www.tilleke.com/insights/indonesia-updates-its-drug-advertising-guidelines/27/,https://credevo.com/articles/2021/05/25/drug-registration-process-in-indonesia/"
Legally requires acceptance of another ASEAN Member State’s (AMS) Certificate of Good Manufacturing Practice (cGMP) for pharmaceutical manufacturers.,Indonesia,YES,"Indonesia is legally required to accept GMP certificates from other ASEAN Member States for pharmaceutical manufacturers under the ASEAN Mutual Recognition Arrangement on GMP inspection, which obliges all AMS to recognize GMP certificates issued by ASEAN Listed Inspection Services.[3][4]","https://certease.com/gmp-certification-in-indonesia/,https://asean.org/wp-content/uploads/images/2013/economic/iai/ASEAN%20Cosmetics%20Directive%20CLMV%20Workshop%20Feb%202013.pdf,https://globalforum.diaglobal.org/issue/march-2021/harmonization-of-gmp-inspection-and-benefits-to-asean-economic-community/,https://www.ncbi.nlm.nih.gov/books/NBK555744/,https://insightof.id/frequently-asked-questions-good-manufacturing-practice-gmp-certificate-for-cosmetics/"
Permits stability data submission for pharmaceutical products at 25°C/60% relative humidity (RH) when supported by accelerated stability studies.,Indonesia,YES,"Indonesia accepts stability data submission at 25°C/60% RH for pharmaceutical products, provided it is supported by long-term and accelerated stability studies in accordance with BPOM guidelines and ASEAN standards[5][2].","https://www.permitindo.com/news/bpom-health-supplement-stability-testing,https://www.rsc.org/suppdata/c5/ra/c5ra07716h/c5ra07716h1.pdf,https://foodcomplianceinternational.com/industry-insight/news/5384-bpom-issues-guidelines-for-stability-testing-of-health-supplements,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-1-r2-stability-testing-new-drug-substances-and-products-step-5_en.pdf,https://www.artixio.com/post/nadfc-bpom-regulation-of-pharmaceuticals-in-indonesia"
Allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing.,Indonesia,YES,"Indonesia allows the use of bracketing and matrixing study designs in pharmaceutical product stability testing by adopting ASEAN guidelines, which explicitly permit these approaches for reduced testing schedules.[2][3]","https://www.permitindo.com/news/bpom-health-supplement-stability-testing,https://asean.org/wp-content/uploads/2017/09/ASEAN-Guidelines-on-Stability-and-Shelf-Life-TM-V1.0-with-disclaimer.pdf,https://foodcomplianceinternational.com/industry-insight/news/5384-bpom-issues-guidelines-for-stability-testing-of-health-supplements,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q1d-bracketing-and-matrixing-designs-stability-testing-new-drug-substances-and-products,https://food.chemlinked.com/database/view/5830"
Requires halal certification for pharmaceutical products.,Indonesia,YES,"Indonesia requires halal certification for pharmaceutical products, including medicines, supplements, and traditional remedies, under the Halal Product Assurance Law, with deadlines for compliance applying to over-the-counter and traditional drugs by 2026–2029[1][2][3].","https://emerhub.com/indonesia/halal-certification-in-indonesia/,https://emerhub.com/indonesia/understanding-the-process-and-requirements-of-indonesia-halal-certification/,https://indonesia.incorp.asia/blogs/halal-certification-procedure-2025/,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Indonesia+Confirms+Extension+for+Mandatory+Halal+Certification+for+Imported+Food+and+Beverage+Products+and+Annulment+of+Apostille+Requirement_Jakarta_Indonesia_ID2024-0039,https://andamanmed.com/indonesia-implementation-of-halal-product-assurance-for-medical-devices-circulating-in-indonesia/"
Specifically mandates the use of a “red dot” symbol on prescription-only pharmaceutical products.,Indonesia,NO,"Indonesia specifically mandates a red circle with the letter 'K' for prescription-only pharmaceutical products, not a plain 'red dot' symbol, according to BPOM regulations[1].","https://www.artixio.com/post/nadfc-bpom-regulation-of-pharmaceuticals-in-indonesia,http://www.tsmia.or.th/RTD2022/Self-CARER_e-book_final.pdf,https://www.visiott.com/blog/indonesia-pharmaceutical-track-and-trace-regulation/,https://core.ac.uk/download/pdf/159073290.pdf,https://www.freyrsolutions.com/blog/understanding-indonesias-new-labeling-regulations-for-natural-medicines-and-health-supplements"
Targets an average marketing authorization (MA) approval timeline of six months or less for pharmaceutical products.,Indonesia,PARTIAL,"Indonesia targets a six-month (approximately 130 working days) approval timeline only for priority drugs (orphan, pandemic, public health), while regular drugs take up to 150–300 working days, so the sub-six-month goal is not universal for all pharmaceutical products.[5][1][3]","https://www.pacificbridgemedical.com/publication/indonesias-national-agency-of-drug-and-food-control-bpom/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9734413/,https://credevo.com/articles/2021/05/25/drug-registration-process-in-indonesia/,https://www.raps.org/news-and-articles/news-articles/2018/1/the-drug-regulatory-landscape-in-the-asean-region,https://www.artixio.com/post/nadfc-bpom-regulation-of-pharmaceuticals-in-indonesia"
Imposes hospital-only distribution restrictions for certain classes of antimicrobial (AM) pharmaceutical products.,Indonesia,UNKNOWN,"Current evidence confirms Indonesia has antimicrobial stewardship and hospital antibiotic control programs, but there is no clear documentation of explicit hospital-only distribution restrictions for specific antimicrobial classes in the publicly available sources examined.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9985506/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9195390/,https://japer.in/storage/files/article/4362fdc1-c981-4c8b-ae2e-b1b37b545dac-W5VwXUayM9b60sIZ/japer-vol-12-iss-4-19-26-8066.pdf,https://www.hsfkramer.com/notes/indonesia/2021-04/new-foreign-investment-rules-in-indonesias-healthcare-and-pharmaceutical-sectors,https://www.tropicalmedicine.ox.ac.uk/news/indonesia-faces-gaps-in-hospital-antibiotic-programmes-amid-fight-against-antimicrobial-resistance-study-by-universitas-indonesia-and-oucru-indonesia-finds"
Publishes national antimicrobial resistance (AMR) surveillance data related to pharmaceutical products.,Indonesia,YES,"Indonesia publishes national antimicrobial resistance (AMR) surveillance data, with recent efforts including a 2024-2025 national AMR survey of bloodstream infections and public releases of monitoring and evaluation outcomes from its National Action Plan for AMR control.[1][3][5]","https://www.who.int/indonesia/news/detail/13-02-2025-indonesia-launches-groundbreaking-national-amr-survey-on-bloodstream-infections,https://www.flemingfund.org/app/uploads/59f148b0482cda160087e29b9a5a21a0.pdf,https://www.fao.org/indonesia/news/detail/evaluation-of-the-2020-2024-nap-amr--positive-results-in-antimicrobial-resistance-control/en,https://ghsindex.org/wp-content/uploads/2021/12/Indonesia.pdf,https://www.who.int/indonesia/news/detail/03-09-2024-evaluation-of-ran-pra-2020-2024--control-of-antimicrobial-resistance-achieves-positive-results"
